,kidney_glob,kidney_glob_reperfusion,kidney_sel,kidney_sel_reperfusion
kidney_glob,96,29,62,1
kidney_glob_reperfusion,0,114,8,10
kidney_sel,5,7,187,25
kidney_sel_reperfusion,0,21,7,24
