accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2980507016181946,0,9,,
,0,9,0.997774600982666,
0.34454190731048584,1,19,,
,1,19,0.9340776205062866,
0.36634179949760437,2,29,,
,2,29,0.7983365058898926,
0.3846491277217865,3,39,,
,3,39,0.7979796528816223,
,4,49,,0.8154889345169067
0.39508771896362305,4,49,,
,4,49,0.7885006666183472,
0.4093567430973053,5,59,,
,5,59,0.7592487335205078,
0.4186856150627136,6,69,,
,6,69,0.7672909498214722,
0.42197856307029724,7,79,,
,7,79,0.721222460269928,
0.42536279559135437,8,89,,
,8,89,0.7534478902816772,
,9,99,,0.8093454241752625
0.43352827429771423,9,99,,
,9,99,0.7064195871353149,
0.44222933053970337,10,109,,
,10,109,0.717182457447052,
0.45206302404403687,11,119,,
,11,119,0.7188988924026489,
0.46198830008506775,12,129,,
,12,129,0.7082355618476868,
0.4682818353176117,13,139,,
,13,139,0.662115216255188,
,14,149,,0.6397020816802979
0.4753086566925049,14,149,,
,14,149,0.6813234090805054,
0.4790570139884949,15,159,,
,15,159,0.6710113286972046,
0.4837518632411957,16,169,,
,16,169,0.6852132678031921,
0.48275938630104065,17,179,,
,17,179,0.6247162222862244,
0.48605725169181824,18,189,,
,18,189,0.6571403741836548,
,19,199,,0.6426462531089783
0.4882846176624298,19,199,,
,19,199,0.6415718793869019,
