accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.2980507016181946,0,9,,
,0,9,1.0126605033874512,
0.34454190731048584,1,19,,
,1,19,0.9053336977958679,
0.36003899574279785,2,29,,
,2,29,0.7940503358840942,
0.3809454143047333,3,39,,
,3,39,0.8274493217468262,
,4,49,,0.8364033102989197
0.393489271402359,4,49,,
,4,49,0.8017571568489075,
0.41611436009407043,5,59,,
,5,59,0.7659295797348022,
0.4343915283679962,6,69,,
,6,69,0.7853811383247375,
0.4338693916797638,7,79,,
,7,79,0.7539610862731934,
0.42709553241729736,8,89,,
,8,89,0.7892141342163086,
,9,99,,0.7532619833946228
0.4226900637149811,9,99,,
,9,99,0.7393392324447632,
0.4304802417755127,10,109,,
,10,109,0.7830687761306763,
0.4443794786930084,11,119,,
,11,119,0.7731569409370422,
0.45681512355804443,12,129,,
,12,129,0.7428330183029175,
0.4625174105167389,13,139,,
,13,139,0.7344461679458618,
,14,149,,0.7955132126808167
0.4706043004989624,14,149,,
,14,149,0.7311444878578186,
0.4775950312614441,15,159,,
,15,159,0.7010968327522278,
0.4855062663555145,16,169,,
,16,169,0.7662248611450195,
0.48924627900123596,17,179,,
,17,179,0.6823302507400513,
0.49461373686790466,18,189,,
,18,189,0.7262199521064758,
,19,199,,0.693412721157074
0.49678364396095276,19,199,,
,19,199,0.6944356560707092,
