accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.1190476194024086,0,6,,
,0,6,0.997897207736969,
0.2857142984867096,1,13,,
,1,13,0.8871459364891052,
0.3968254029750824,2,20,,
,2,20,0.8685582280158997,
0.4523809552192688,3,27,,
,3,27,0.8076952695846558,
0.5,4,34,,
,4,34,0.8047332167625427,
0.5396825671195984,5,41,,
,5,41,0.8540229797363281,
0.5680271983146667,6,48,,
,6,48,0.7483587861061096,
,7,49,,0.7663076519966125
0.5773809552192688,7,55,,
,7,55,0.7625551819801331,
0.5846560597419739,8,62,,
,8,62,0.6924439072608948,
0.5738095045089722,9,69,,
,9,69,0.7067385315895081,
0.5743145942687988,10,76,,
,10,76,0.7020941376686096,
0.5661375522613525,11,83,,
,11,83,0.6681365966796875,
0.562881588935852,12,90,,
,12,90,0.65007483959198,
0.5600907206535339,13,97,,
,13,97,0.6009851694107056,
,14,99,,0.6840347051620483
0.5687830448150635,14,104,,
,14,104,0.6522215008735657,
0.5763888955116272,15,111,,
,15,111,0.7088433504104614,
0.5802987813949585,16,118,,
,16,118,0.6489401459693909,
0.5798060297966003,17,125,,
,17,125,0.6598119735717773,
0.5817320942878723,18,132,,
,18,132,0.6496995091438293,
0.5764550566673279,19,139,,
,19,139,0.6400948762893677,
