,kidney_glob,kidney_glob_reperfusion,kidney_sel,kidney_sel_reperfusion
kidney_glob,92,33,63,0
kidney_glob_reperfusion,0,109,11,12
kidney_sel,9,6,198,11
kidney_sel_reperfusion,0,15,10,27
