accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.0762125253677368,
0.3850877285003662,1,19,,
,1,19,0.9855079650878906,
0.44645875692367554,2,29,,
,2,29,0.8224417567253113,
0.48708575963974,3,39,,
,3,39,0.7929121255874634,
,4,49,,0.8426679372787476
0.5008187294006348,4,49,,
,4,49,0.7736443281173706,
0.5315464735031128,5,59,,
,5,59,0.7252637147903442,
0.5522417426109314,6,69,,
,6,69,0.6918587684631348,
0.5713937878608704,7,79,,
,7,79,0.6861323714256287,
0.5814164876937866,8,89,,
,8,89,0.683225154876709,
,9,99,,0.9296115040779114
0.5780311822891235,9,99,,
,9,99,0.6622340679168701,
0.5933545827865601,10,109,,
,10,109,0.6970890760421753,
0.5996589064598083,11,119,,
,11,119,0.6849123239517212,
0.60172438621521,12,129,,
,12,129,0.6159964799880981,
0.604748010635376,13,139,,
,13,139,0.6216872930526733,
,14,149,,0.6575063467025757
0.612540602684021,14,149,,
,14,149,0.6982138752937317,
0.6100877523422241,15,159,,
,15,159,0.5551012754440308,
0.6139892339706421,16,169,,
,16,169,0.6214174032211304,
0.6146848797798157,17,179,,
,17,179,0.5475543141365051,
0.6162306666374207,18,189,,
,18,189,0.564210832118988,
,19,199,,0.4654685854911804
0.6176218390464783,19,199,,
,19,199,0.5507887005805969,
