accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,18,,
,0,18,0.9434245228767395,
0.40925925970077515,1,37,,
,1,37,0.8809247016906738,
,2,49,,0.6846447587013245
0.4310591220855713,2,56,,
,2,56,0.7811238169670105,
0.42831385135650635,3,75,,
,3,75,0.8386557102203369,
0.4420273005962372,4,94,,
,4,94,0.7866632342338562,
,5,99,,0.669208824634552
0.4423002004623413,5,113,,
,5,113,0.7536168098449707,
0.44942912459373474,6,132,,
,6,132,0.732022762298584,
,7,149,,0.910503089427948
0.4634503126144409,7,151,,
,7,151,0.6890507936477661,
0.4674680531024933,8,170,,
,8,170,0.7516065239906311,
0.4714230000972748,9,189,,
,9,189,0.6817627549171448,
,10,199,,0.719103217124939
0.4758816361427307,10,208,,
,10,208,0.7165239453315735,
0.48156270384788513,11,227,,
,11,227,0.7526546716690063,
0.48409056663513184,12,246,,
,12,246,0.7067232131958008,
,13,249,,0.6690948605537415
0.49058759212493896,13,265,,
,13,265,0.7252207398414612,
0.4958154559135437,14,284,,
,14,284,0.6889622807502747,
,15,299,,0.6596391797065735
0.4989157021045685,15,303,,
,15,303,0.6628921627998352,
0.5047013163566589,16,322,,
,16,322,0.6695621609687805,
0.5023608207702637,17,341,,
,17,341,0.6560344099998474,
,18,349,,0.4704188108444214
0.5045552253723145,18,360,,
,18,360,0.6652677655220032,
0.5046783685684204,19,379,,
,19,379,0.6472610831260681,
