accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.1036399602890015,
0.3182261288166046,1,19,,
,1,19,1.0038081407546997,
0.3868096172809601,2,29,,
,2,29,0.9160577654838562,
0.41603314876556396,3,39,,
,3,39,0.8969322443008423,
,4,49,,0.8140619397163391
0.40970760583877563,4,49,,
,4,49,0.8705107569694519,
0.4316764175891876,5,59,,
,5,59,0.8651609420776367,
0.41807296872138977,6,69,,
,6,69,0.8420588374137878,
0.44200780987739563,7,79,,
,7,79,0.8156471252441406,
0.45897769927978516,8,89,,
,8,89,0.8177658915519714,
,9,99,,0.947837233543396
0.47458091378211975,9,99,,
,9,99,0.8075807690620422,
0.4834839701652527,10,109,,
,10,109,0.8051249384880066,
0.48882392048835754,11,119,,
,11,119,0.7877064943313599,
0.4933423399925232,12,129,,
,12,129,0.769220232963562,
0.5006822943687439,13,139,,
,13,139,0.7726348638534546,
,14,149,,0.8895537257194519
0.49719297885894775,14,149,,
,14,149,0.8040114641189575,
0.49367690086364746,15,159,,
,15,159,0.735463559627533,
0.5000573396682739,16,169,,
,16,169,0.785429835319519,
0.5123673677444458,17,179,,
,17,179,0.7181699275970459,
0.5163845419883728,18,189,,
,18,189,0.7249404191970825,
,19,199,,0.6571553349494934
0.5195614099502563,19,199,,
,19,199,0.716979444026947,
