accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.3910331428050995,0,9,,
,0,9,1.0623667240142822,
0.3785575032234192,1,19,,
,1,19,1.0218483209609985,
0.3827160596847534,2,29,,
,2,29,0.9177292585372925,
0.3959064483642578,3,39,,
,3,39,0.8862243890762329,
,4,49,,0.9641520380973816
0.39493176341056824,4,49,,
,4,49,0.8672167062759399,
0.42992204427719116,5,59,,
,5,59,0.8621605038642883,
0.43505987524986267,6,69,,
,6,69,0.8514267802238464,
0.440009742975235,7,79,,
,7,79,0.830420970916748,
0.45196014642715454,8,89,,
,8,89,0.8162439465522766,
,9,99,,0.9553805589675903
0.454697847366333,9,99,,
,9,99,0.8212783932685852,
0.4647173583507538,10,109,,
,10,109,0.7969287633895874,
0.46689409017562866,11,119,,
,11,119,0.8081328272819519,
0.46365272998809814,12,129,,
,12,129,0.7940444946289062,
0.4719576835632324,13,139,,
,13,139,0.7678316235542297,
,14,149,,0.8807320594787598
0.472631573677063,14,149,,
,14,149,0.8149598836898804,
0.4707358777523041,15,159,,
,15,159,0.7626294493675232,
0.4705653190612793,16,169,,
,16,169,0.7876042127609253,
0.46738141775131226,17,179,,
,17,179,0.7132198214530945,
0.46769264340400696,18,189,,
,18,189,0.7323291897773743,
,19,199,,0.7075819373130798
0.4679727256298065,19,199,,
,19,199,0.7356360554695129,
