accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.5719298124313354,0,9,,
,0,9,1.1458969116210938,
0.5867446660995483,1,19,,
,1,19,0.8744006156921387,
0.6033788323402405,2,29,,
,2,29,0.8356637954711914,
0.6179337501525879,3,39,,
,3,39,0.8037934303283691,
,4,49,,0.9573714137077332
0.5764912366867065,4,49,,
,4,49,0.7413448095321655,
0.5680961608886719,5,59,,
,5,59,0.7356297373771667,
0.5743247270584106,6,69,,
,6,69,0.7421034574508667,
0.5872563123703003,7,79,,
,7,79,0.7219096422195435,
0.5963396430015564,8,89,,
,8,89,0.661781907081604,
,9,99,,1.0208913087844849
0.6002339124679565,9,99,,
,9,99,0.7439408302307129,
0.6071593165397644,10,109,,
,10,109,0.6541410684585571,
0.6110786199569702,11,119,,
,11,119,0.6999406814575195,
0.6155345439910889,12,129,,
,12,129,0.7136723399162292,
0.6176691651344299,13,139,,
,13,139,0.5837307572364807,
,14,149,,0.908306360244751
0.6215854287147522,14,149,,
,14,149,0.6361826658248901,
0.6229897737503052,15,159,,
,15,159,0.6071329116821289,
0.6261323094367981,16,169,,
,16,169,0.6174300909042358,
0.6272038221359253,17,179,,
,17,179,0.5598953366279602,
0.6289422512054443,18,189,,
,18,189,0.5537919402122498,
,19,199,,0.7268160581588745
0.6302046775817871,19,199,,
,19,199,0.6026325225830078,
