,kidney_glob,kidney_glob_reperfusion,kidney_sel,kidney_sel_reperfusion
kidney_glob,113,18,48,9
kidney_glob_reperfusion,2,87,27,16
kidney_sel,92,58,15,59
kidney_sel_reperfusion,0,38,0,14
