accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.034664511680603,
0.3034113049507141,1,19,,
,1,19,0.9585387110710144,
0.3326185941696167,2,29,,
,2,29,0.8628399968147278,
0.38854777812957764,3,39,,
,3,39,0.8581457138061523,
,4,49,,0.8475687503814697
0.38284599781036377,4,49,,
,4,49,0.8462570905685425,
0.41445744037628174,5,59,,
,5,59,0.8247043490409851,
0.4331662654876709,6,69,,
,6,69,0.8407589197158813,
0.4439083933830261,7,79,,
,7,79,0.7937142848968506,
0.45076891779899597,8,89,,
,8,89,0.8079717755317688,
,9,99,,0.8257597088813782
0.45612087845802307,9,99,,
,9,99,0.774577260017395,
0.4688463509082794,10,109,,
,10,109,0.785870373249054,
0.46837231516838074,11,119,,
,11,119,0.7914037108421326,
0.470100462436676,12,129,,
,12,129,0.7673514485359192,
0.4769841432571411,13,139,,
,13,139,0.7679492235183716,
,14,149,,0.7403481006622314
0.48807018995285034,14,149,,
,14,149,0.7710779309272766,
0.48778021335601807,15,159,,
,15,159,0.7412468791007996,
0.4936360716819763,16,169,,
,16,169,0.7610442638397217,
0.4888022541999817,17,179,,
,17,179,0.7053391933441162,
0.4870626926422119,18,189,,
,18,189,0.7211334109306335,
,19,199,,0.6296924948692322
0.48499026894569397,19,199,,
,19,199,0.7161391973495483,
