name,test_accuracy,val_accuracy,deox_recall,ischem_recall,stas_recall,balanced_accuracy
seed0,0.7540983606557377,0.3258426966292135,1.0,0.0,0.0,0.3333333333333333
deox_weight_8_seed0,0.7131147540983607,0.5168539325842697,0.8369565217391305,0.0,1.0,0.6123188405797101
deox_weight_7_seed0,0.5983606557377049,0.5280898876404494,0.6847826086956522,0.0,1.0,0.5615942028985508
deox_weight_10_seed0,0.5409836065573771,0.5056179775280899,0.6086956521739131,0.0,1.0,0.5362318840579711
deox_weight_10,0.5081967213114754,0.4943820224719101,0.5652173913043478,0.0,1.0,0.5217391304347826
deox_weight_8,0.32786885245901637,0.5056179775280899,0.32608695652173914,0.0,1.0,0.4420289855072464
deox_weight_7,0.3114754098360656,0.5280898876404494,0.30434782608695654,0.0,1.0,0.43478260869565216
deox_weight_5,0.30327868852459017,0.550561797752809,0.29347826086956524,0.0,1.0,0.43115942028985504
deox_weight_2_seed0,0.29508196721311475,0.6629213483146067,0.17391304347826086,0.5,1.0,0.5579710144927535
deox_weight_7_lr_0_0003,0.21311475409836064,0.6629213483146067,0.17391304347826086,0.0,1.0,0.3913043478260869
deox_weight_8_lr_0_0003,0.21311475409836064,0.6179775280898876,0.17391304347826086,0.0,1.0,0.3913043478260869
deox_weight_3,0.2540983606557377,0.6404494382022472,0.16304347826086957,0.3,1.0,0.48768115942028983
deox_weight_5_lr_0_0003,0.1885245901639344,0.6629213483146067,0.14130434782608695,0.0,1.0,0.3804347826086956
nll_weights,0.2786885245901639,0.797752808988764,0.08695652173913043,0.8,1.0,0.6289855072463768
deox_weight_2_lr_0_0003,0.27049180327868855,0.7415730337078652,0.07608695652173914,0.8,1.0,0.6253623188405797
deox_weight_3_lr_0_0003,0.22950819672131148,0.6179775280898876,0.07608695652173914,0.55,1.0,0.5420289855072463
inverse_oversampling,0.28688524590163933,0.6404494382022472,0.05434782608695652,1.0,1.0,0.6847826086956522
balanced_weights,0.2540983606557377,0.6741573033707865,0.05434782608695652,0.8,1.0,0.6181159420289856
inverse_weights,0.26229508196721313,0.7078651685393258,0.043478260869565216,0.9,1.0,0.6478260869565218
deox_weight_2,0.19672131147540983,0.6179775280898876,0.043478260869565216,0.5,1.0,0.5144927536231884
oversampling,0.27049180327868855,0.6966292134831461,0.03260869565217391,1.0,1.0,0.677536231884058
batch_32,0.2540983606557377,0.6966292134831461,0.010869565217391304,1.0,1.0,0.6702898550724637
lr_0_0001,0.2459016393442623,0.797752808988764,0.0,1.0,1.0,0.6666666666666666
lr_0_0003,0.2459016393442623,0.797752808988764,0.0,1.0,1.0,0.6666666666666666
