accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.0638806819915771,
0.27173489332199097,1,19,,
,1,19,1.0317280292510986,
0.34165042638778687,2,29,,
,2,29,0.8966550827026367,
0.40614035725593567,3,39,,
,3,39,0.9038627743721008,
,4,49,,0.9392551779747009
0.4477972686290741,4,49,,
,4,49,0.8721501231193542,
0.46218323707580566,5,59,,
,5,59,0.8468865156173706,
0.5049290060997009,6,69,,
,6,69,0.8460639119148254,
0.514132559299469,7,79,,
,7,79,0.8297920227050781,
0.5416070818901062,8,89,,
,8,89,0.8345779180526733,
,9,99,,0.9874277710914612
0.5628460049629211,9,99,,
,9,99,0.7945905327796936,
0.5650717616081238,10,109,,
,10,109,0.7997978925704956,
0.5690058469772339,11,119,,
,11,119,0.8117807507514954,
0.5832358598709106,12,129,,
,12,129,0.7910138964653015,
0.5972152948379517,13,139,,
,13,139,0.7837899327278137,
,14,149,,0.8454588651657104
0.6028590202331543,14,149,,
,14,149,0.8291784524917603,
0.6029849052429199,15,159,,
,15,159,0.7209460139274597,
0.6133356094360352,16,169,,
,16,169,0.791871190071106,
0.6211500763893127,17,179,,
,17,179,0.6989296078681946,
0.6286036968231201,18,189,,
,18,189,0.7328745722770691,
,19,199,,0.6186390519142151
0.6352436542510986,19,199,,
,19,199,0.7242173552513123,
