,kidney,kidney_deox,kidney_ischem,kidney_stas
kidney,100.0,0.0,0.0,0.0
kidney_deox,50.0,7.936507936507936,26.58730158730159,15.476190476190476
kidney_ischem,52.4390243902439,10.365853658536585,26.82926829268293,10.365853658536585
kidney_stas,50.0,0.0,0.0,50.0
