accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.36407768726348877,0,43,,
,0,43,1.2901556491851807,
,1,49,,1.237034559249878
0.40473300218582153,1,87,,
,1,87,1.179348111152649,
,2,99,,1.093866229057312
0.41648462414741516,2,131,,
,2,131,1.1567940711975098,
,3,149,,1.1533514261245728
0.4513501226902008,3,175,,
,3,175,1.10210120677948,
,4,199,,0.9797020554542542
0.4539320468902588,4,219,,
,4,219,1.1028088331222534,
,5,249,,1.0672564506530762
0.45571398735046387,5,263,,
,5,263,1.1142712831497192,
,6,299,,1.0827860832214355
0.4697035253047943,6,307,,
,6,307,1.0711581707000732,
,7,349,,0.9674330949783325
0.47805672883987427,7,351,,
,7,351,1.0456560850143433,
0.48327940702438354,8,395,,
,8,395,1.0547953844070435,
,9,399,,1.1417089700698853
0.4888470768928528,9,439,,
,9,439,1.0643699169158936,
,10,449,,1.2660553455352783
0.49560901522636414,10,483,,
,10,483,1.0731110572814941,
,11,499,,1.1192073822021484
0.4973655045032501,11,527,,
,11,527,1.0401487350463867,
,12,549,,0.9797592163085938
0.5025252103805542,12,571,,
,12,571,1.0053356885910034,
,13,599,,1.0716097354888916
0.5073292255401611,13,615,,
,13,615,1.0050467252731323,
,14,649,,0.9012864232063293
0.5120590925216675,14,659,,
,14,659,0.9874937534332275,
,15,699,,0.9512085318565369
0.515363335609436,15,703,,
,15,703,0.9953289031982422,
0.5134280323982239,16,747,,
,16,747,0.9903742074966431,
,17,749,,0.8938846588134766
0.5179072022438049,17,791,,
,17,791,0.985149621963501,
,18,799,,0.9576606154441833
0.5147643089294434,18,835,,
,18,835,0.973186731338501,
,19,849,,0.8429235219955444
0.518000602722168,19,879,,
,19,879,0.9564521312713623,
