,kidney_glob,kidney_glob_reperfusion,kidney_sel,kidney_sel_reperfusion
kidney_glob,108,6,74,0
kidney_glob_reperfusion,29,77,10,16
kidney_sel,6,3,191,24
kidney_sel_reperfusion,0,13,3,36
