accuracy,epoch,step,train/ce_loss_epoch,train/ce_loss_step
0.24541909992694855,0,9,,
,0,9,1.0414745807647705,
0.2879142165184021,1,19,,
,1,19,0.9838036298751831,
0.3222872018814087,2,29,,
,2,29,0.8839622735977173,
0.36593568325042725,3,39,,
,3,39,0.9052326083183289,
,4,49,,1.0032262802124023
0.40752437710762024,4,49,,
,4,49,0.8896449208259583,
0.42738792300224304,5,59,,
,5,59,0.8546597361564636,
0.4442495107650757,6,69,,
,6,69,0.8544386029243469,
0.46617934107780457,7,79,,
,7,79,0.8170531392097473,
0.4840589165687561,8,89,,
,8,89,0.8278754949569702,
,9,99,,0.8479583859443665
0.490799218416214,9,99,,
,9,99,0.7941537499427795,
0.48895978927612305,10,109,,
,10,109,0.8190662264823914,
0.48973360657691956,11,119,,
,11,119,0.8285887837409973,
0.49458691477775574,12,129,,
,12,129,0.807269275188446,
0.4980228543281555,13,139,,
,13,139,0.8114768266677856,
,14,149,,0.9172601103782654
0.49705004692077637,14,149,,
,14,149,0.8254308700561523,
0.49961015582084656,15,159,,
,15,159,0.7524796724319458,
0.49686962366104126,16,169,,
,16,169,0.8191177248954773,
0.4969460666179657,17,179,,
,17,179,0.7338446378707886,
0.4987175464630127,18,189,,
,18,189,0.7633442878723145,
,19,199,,0.7262258529663086
0.49869397282600403,19,199,,
,19,199,0.7675381898880005,
